Date Time, Water Level, Sigma, I, L 
2024-01-08 00:00,0.375,0.128,0,0
2024-01-08 01:00,1.035,0.161,0,0
2024-01-08 02:00,1.868,0.105,0,0
2024-01-08 03:00,2.708,0.108,0,0
2024-01-08 04:00,3.456,0.098,0,0
2024-01-08 05:00,3.899,0.125,0,0
2024-01-08 06:00,4.070,0.108,0,0
2024-01-08 07:00,4.014,0.118,0,0
2024-01-08 08:00,3.663,0.121,0,0
2024-01-08 09:00,3.321,0.098,0,0
2024-01-08 10:00,3.180,0.118,0,0
2024-01-08 11:00,3.371,0.121,0,0
2024-01-08 12:00,3.889,0.125,0,0
2024-01-08 13:00,4.624,0.108,0,0
2024-01-08 14:00,5.415,0.131,0,0
2024-01-08 15:00,6.005,0.098,0,0
2024-01-08 16:00,6.396,0.092,0,0
2024-01-08 17:00,6.215,0.112,0,0
2024-01-08 18:00,5.451,0.148,0,0
2024-01-08 19:00,3.988,0.128,0,0
2024-01-08 20:00,2.373,0.128,0,0
2024-01-08 21:00,0.946,0.125,0,0
2024-01-08 22:00,0.162,0.079,0,0
2024-01-08 23:00,-0.048,0.026,0,0
2024-01-09 00:00,-0.146,0.023,0,0
2024-01-09 01:00,0.005,0.082,0,0
2024-01-09 02:00,0.717,0.072,0,0
2024-01-09 03:00,1.786,0.072,0,0
2024-01-09 04:00,2.839,0.079,0,0
2024-01-09 05:00,3.643,0.072,0,0
2024-01-09 06:00,4.201,0.075,0,0
2024-01-09 07:00,4.257,0.082,0,0
2024-01-09 08:00,4.086,0.069,0,0
2024-01-09 09:00,3.673,0.075,0,0
2024-01-09 10:00,3.308,0.089,0,0
2024-01-09 11:00,3.230,0.059,0,0
2024-01-09 12:00,3.522,0.105,0,0
2024-01-09 13:00,4.165,0.089,0,0
2024-01-09 14:00,4.929,0.085,0,0
2024-01-09 15:00,5.805,0.075,0,0
2024-01-09 16:00,6.488,0.062,0,0
2024-01-09 17:00,6.753,0.049,0,0
2024-01-09 18:00,6.409,0.075,0,0
2024-01-09 19:00,5.326,0.089,0,0
2024-01-09 20:00,3.712,0.075,0,0
2024-01-09 21:00,1.940,0.069,0,0
2024-01-09 22:00,0.431,0.105,0,0
2024-01-09 23:00,-0.107,0.036,0,0
2024-01-10 00:00,-0.284,0.013,0,0
2024-01-10 01:00,-0.333,0.020,0,0
2024-01-10 02:00,-0.058,0.046,1,0
2024-01-10 03:00,0.890,0.075,0,0
2024-01-10 04:00,2.003,0.089,0,0
2024-01-10 05:00,3.046,0.098,0,0
2024-01-10 06:00,3.932,0.075,0,0
2024-01-10 07:00,4.394,0.098,0,0
2024-01-10 08:00,4.476,0.115,0,0
2024-01-10 09:00,4.129,0.125,0,0
2024-01-10 10:00,3.741,0.125,0,0
2024-01-10 11:00,3.282,0.128,0,0
2024-01-10 12:00,3.289,0.141,0,0
2024-01-10 13:00,3.758,0.135,0,0
2024-01-10 14:00,4.489,0.141,0,0
2024-01-10 15:00,5.408,0.131,0,0
2024-01-10 16:00,6.291,0.151,0,0
2024-01-10 17:00,6.934,0.115,0,0
2024-01-10 18:00,7.144,0.135,0,0
2024-01-10 19:00,6.586,0.141,0,0
2024-01-10 20:00,5.290,0.230,0,0
2024-01-10 21:00,3.407,0.151,0,0
2024-01-10 22:00,1.566,0.121,0,0
2024-01-10 23:00,0.182,0.131,0,0
2024-01-11 00:00,-0.225,0.036,0,0
2024-01-11 01:00,-0.337,0.023,0,0
2024-01-11 02:00,-0.317,0.052,0,0
2024-01-11 03:00,0.175,0.171,0,0
2024-01-11 04:00,1.310,0.138,0,0
2024-01-11 05:00,2.557,0.148,0,0
2024-01-11 06:00,3.617,0.154,0,0
2024-01-11 07:00,4.417,0.154,0,0
2024-01-11 08:00,4.703,0.135,0,0
2024-01-11 09:00,4.611,0.131,0,0
2024-01-11 10:00,4.135,0.148,0,0
2024-01-11 11:00,3.495,0.135,0,0
2024-01-11 12:00,3.128,0.144,0,0
2024-01-11 13:00,3.121,0.148,0,0
2024-01-11 14:00,3.581,0.138,0,0
2024-01-11 15:00,4.424,0.125,0,0
2024-01-11 16:00,5.392,0.108,0,0
2024-01-11 17:00,6.281,0.121,0,0
2024-01-11 18:00,6.868,0.121,0,0
2024-01-11 19:00,6.865,0.115,0,0
2024-01-11 20:00,6.140,0.135,0,0
2024-01-11 21:00,4.558,0.180,0,0
2024-01-11 22:00,2.498,0.151,0,0
2024-01-11 23:00,0.680,0.128,0,0
2024-01-12 00:00,-0.264,0.036,0,0
2024-01-12 01:00,-0.579,0.010,0,0
2024-01-12 02:00,-0.714,0.026,0,0
2024-01-12 03:00,-0.661,0.030,0,0
2024-01-12 04:00,-0.114,0.095,0,0
2024-01-12 05:00,1.258,0.082,0,0
2024-01-12 06:00,2.629,0.102,0,0
2024-01-12 07:00,3.689,0.069,0,0
2024-01-12 08:00,4.493,0.082,0,0
2024-01-12 09:00,4.657,0.072,0,0
2024-01-12 10:00,4.430,0.082,0,0
2024-01-12 11:00,3.889,0.085,0,0
2024-01-12 12:00,3.105,0.095,0,0
2024-01-12 13:00,2.911,0.092,0,0
2024-01-12 14:00,2.941,0.118,0,0
2024-01-12 15:00,3.571,0.092,0,0
2024-01-12 16:00,4.444,0.092,0,0
2024-01-12 17:00,5.434,0.075,0,0
2024-01-12 18:00,6.383,0.072,0,0
2024-01-12 19:00,6.888,0.072,0,0
2024-01-12 20:00,6.786,0.066,0,0
2024-01-12 21:00,5.739,0.079,0,0
2024-01-12 22:00,4.079,0.102,0,0
2024-01-12 23:00,2.009,0.095,0,0
2024-01-13 00:00,0.238,0.108,0,0
2024-01-13 01:00,-0.527,0.030,1,0
2024-01-13 02:00,-0.619,0.016,0,0
2024-01-13 03:00,-0.671,0.010,0,0
2024-01-13 04:00,-0.675,0.030,1,0
2024-01-13 05:00,0.287,0.059,0,0
2024-01-13 06:00,1.773,0.069,0,0
2024-01-13 07:00,3.030,0.059,0,0
2024-01-13 08:00,4.175,0.052,0,0
2024-01-13 09:00,4.814,0.056,0,0
2024-01-13 10:00,4.837,0.049,0,0
2024-01-13 11:00,4.381,0.079,0,0
2024-01-13 12:00,3.751,0.069,0,0
2024-01-13 13:00,2.993,0.056,0,0
2024-01-13 14:00,2.688,0.056,0,0
2024-01-13 15:00,2.829,0.069,0,0
2024-01-13 16:00,3.531,0.066,0,0
2024-01-13 17:00,4.489,0.075,0,0
2024-01-13 18:00,5.490,0.092,0,0
2024-01-13 19:00,6.353,0.148,0,0
2024-01-13 20:00,6.858,0.098,0,0
2024-01-13 21:00,6.602,0.105,0,0
2024-01-13 22:00,5.516,0.105,0,0
2024-01-13 23:00,3.758,0.105,0,0
2024-01-14 00:00,1.911,0.069,0,0
2024-01-14 01:00,0.342,0.141,0,0
2024-01-14 02:00,-0.445,0.046,0,0
2024-01-14 03:00,-0.638,0.030,0,0
2024-01-14 04:00,-0.579,0.033,0,0
2024-01-14 05:00,0.008,0.112,0,0
2024-01-14 06:00,1.369,0.102,0,0
2024-01-14 07:00,2.698,0.154,0,0
2024-01-14 08:00,3.997,0.098,0,0
2024-01-14 09:00,4.998,0.095,0,0
2024-01-14 10:00,5.434,0.085,0,0
2024-01-14 11:00,5.241,0.141,0,0
2024-01-14 12:00,4.617,0.135,0,0
2024-01-14 13:00,3.679,0.138,0,0
2024-01-14 14:00,2.846,0.148,0,0
2024-01-14 15:00,2.459,0.190,0,0
2024-01-14 16:00,2.708,0.144,0,0
2024-01-14 17:00,3.295,0.148,0,0
2024-01-14 18:00,4.243,0.164,0,0
2024-01-14 19:00,5.090,0.108,0,0
2024-01-14 20:00,5.907,0.164,0,0
2024-01-14 21:00,6.274,0.121,0,0
2024-01-14 22:00,5.963,0.135,0,0
2024-01-14 23:00,4.913,0.154,0,0
2024-01-15 00:00,3.200,0.177,0,0
2024-01-15 01:00,1.465,0.118,0,0
2024-01-15 02:00,0.172,0.174,0,0
2024-01-15 03:00,-0.392,0.049,0,0
2024-01-15 04:00,-0.488,0.036,0,0
2024-01-15 05:00,-0.356,0.072,0,0
2024-01-15 06:00,0.487,0.121,0,0
2024-01-15 07:00,1.868,0.085,0,0
2024-01-15 08:00,3.187,0.092,0,0
2024-01-15 09:00,4.430,0.128,0,0
2024-01-15 10:00,5.178,0.095,0,0
2024-01-15 11:00,5.526,0.095,0,0
2024-01-15 12:00,5.195,0.125,0,0
2024-01-15 13:00,4.407,0.105,0,0
2024-01-15 14:00,3.312,0.102,0,0
2024-01-15 15:00,2.413,0.112,0,0
2024-01-15 16:00,2.147,0.118,0,0
2024-01-15 17:00,2.311,0.115,0,0
2024-01-15 18:00,2.954,0.105,0,0
2024-01-15 19:00,3.722,0.075,0,0
2024-01-15 20:00,4.591,0.069,0,0
2024-01-15 21:00,5.208,0.095,0,0
2024-01-15 22:00,5.536,0.079,0,0
2024-01-15 23:00,5.290,0.069,0,0
2024-01-16 00:00,4.345,0.098,0,0
2024-01-16 01:00,2.961,0.118,0,0
2024-01-16 02:00,1.428,0.085,0,0
2024-01-16 03:00,0.326,0.121,0,0
2024-01-16 04:00,-0.159,0.066,0,0
2024-01-16 05:00,-0.192,0.072,0,0
2024-01-16 06:00,0.421,0.089,0,0
2024-01-16 07:00,1.510,0.082,0,0
2024-01-16 08:00,2.774,0.079,0,0
2024-01-16 09:00,4.001,0.092,0,0
2024-01-16 10:00,4.985,0.072,0,0
2024-01-16 11:00,5.657,0.112,0,0
2024-01-16 12:00,5.769,0.108,0,0
2024-01-16 13:00,5.300,0.105,0,0
2024-01-16 14:00,4.302,0.098,0,0
2024-01-16 15:00,3.131,0.082,0,0
2024-01-16 16:00,2.206,0.075,0,0
2024-01-16 17:00,1.904,0.075,0,0
2024-01-16 18:00,2.016,0.066,0,0
2024-01-16 19:00,2.537,0.079,0,0
2024-01-16 20:00,3.262,0.075,0,0
2024-01-16 21:00,3.984,0.069,0,0
2024-01-16 22:00,4.631,0.085,0,0
2024-01-16 23:00,4.880,0.079,0,0
2024-01-17 00:00,4.837,0.085,0,0
2024-01-17 01:00,4.125,0.085,0,0
2024-01-17 02:00,2.993,0.075,0,0
2024-01-17 03:00,1.783,0.066,0,0
2024-01-17 04:00,0.959,0.092,0,0
2024-01-17 05:00,0.700,0.082,0,0
2024-01-17 06:00,0.953,0.095,0,0
2024-01-17 07:00,1.661,0.072,0,0
2024-01-17 08:00,2.669,0.079,0,0
2024-01-17 09:00,3.814,0.079,0,0
2024-01-17 10:00,4.863,0.092,0,0
2024-01-17 11:00,5.739,0.075,0,0
2024-01-17 12:00,6.153,0.092,0,0
2024-01-17 13:00,6.094,0.082,0,0
2024-01-17 14:00,5.418,0.112,0,0
2024-01-17 15:00,4.250,0.102,0,0
2024-01-17 16:00,3.036,0.092,0,0
2024-01-17 17:00,2.209,0.098,0,0
2024-01-17 18:00,1.612,0.079,0,0
2024-01-17 19:00,1.602,0.092,0,0
2024-01-17 20:00,1.921,0.079,0,0
2024-01-17 21:00,2.531,0.062,0,0
2024-01-17 22:00,3.190,0.072,0,0
2024-01-17 23:00,3.758,0.082,0,0
2024-01-18 00:00,4.197,0.098,0,0
2024-01-18 01:00,4.197,0.072,0,0
2024-01-18 02:00,3.751,0.075,0,0
2024-01-18 03:00,3.052,0.072,0,0
2024-01-18 04:00,2.111,0.079,0,0
2024-01-18 05:00,1.497,0.079,0,0
2024-01-18 06:00,1.307,0.079,0,0
2024-01-18 07:00,1.635,0.072,0,0
2024-01-18 08:00,2.314,0.075,0,0
2024-01-18 09:00,3.239,0.092,0,0
2024-01-18 10:00,4.257,0.112,0,0
2024-01-18 11:00,5.192,0.079,0,0
2024-01-18 12:00,5.933,0.102,0,0
2024-01-18 13:00,6.245,0.072,0,0
2024-01-18 14:00,5.963,0.095,0,0
2024-01-18 15:00,5.218,0.105,0,0
2024-01-18 16:00,3.971,0.115,0,0
2024-01-18 17:00,2.783,0.138,0,0
2024-01-18 18:00,1.868,0.108,0,0
2024-01-18 19:00,1.189,0.089,0,0
2024-01-18 20:00,1.028,0.092,0,0
2024-01-18 21:00,1.307,0.072,0,0
2024-01-18 22:00,1.806,0.075,0,0
2024-01-18 23:00,2.452,0.089,0,0
2024-01-19 00:00,3.157,0.079,0,0
2024-01-19 01:00,3.732,0.072,0,0
2024-01-19 02:00,4.020,0.066,0,0
2024-01-19 03:00,3.876,0.075,0,0
2024-01-19 04:00,3.607,0.069,0,0
2024-01-19 05:00,3.072,0.089,0,0
2024-01-19 06:00,2.551,0.062,0,0
2024-01-19 07:00,2.380,0.062,0,0
2024-01-19 08:00,2.623,0.075,0,0
2024-01-19 09:00,3.174,0.102,0,0
2024-01-19 10:00,3.945,0.079,0,0
2024-01-19 11:00,4.893,0.075,0,0
2024-01-19 12:00,5.717,0.066,0,0
2024-01-19 13:00,6.415,0.069,0,0
2024-01-19 14:00,6.556,0.069,0,0
2024-01-19 15:00,6.327,0.082,0,0
2024-01-19 16:00,5.398,0.079,0,0
2024-01-19 17:00,4.165,0.066,0,0
2024-01-19 18:00,2.803,0.069,0,0
2024-01-19 19:00,1.783,0.089,0,0
2024-01-19 20:00,1.045,0.075,0,0
2024-01-19 21:00,0.920,0.082,0,0
2024-01-19 22:00,1.071,0.085,0,0
2024-01-19 23:00,1.638,0.069,0,0
2024-01-20 00:00,2.327,0.079,0,0
2024-01-20 01:00,3.171,0.072,0,0
2024-01-20 02:00,3.840,0.079,0,0
2024-01-20 03:00,4.299,0.072,0,0
2024-01-20 04:00,4.522,0.059,0,0
2024-01-20 05:00,4.411,0.075,0,0
2024-01-20 06:00,4.096,0.075,0,0
2024-01-20 07:00,3.745,0.095,0,0
2024-01-20 08:00,3.558,0.108,0,0
2024-01-20 09:00,3.640,0.141,0,0
2024-01-20 10:00,4.086,0.115,0,0
2024-01-20 11:00,4.732,0.125,0,0
2024-01-20 12:00,5.566,0.138,0,0
2024-01-20 13:00,6.314,0.112,0,0
2024-01-20 14:00,6.842,0.128,0,0
2024-01-20 15:00,7.019,0.108,0,0
2024-01-20 16:00,6.589,0.121,0,0
2024-01-20 17:00,5.651,0.112,0,0
2024-01-20 18:00,4.243,0.144,0,0
2024-01-20 19:00,2.826,0.115,0,0
2024-01-20 20:00,1.658,0.108,0,0
2024-01-20 21:00,0.835,0.164,0,0
2024-01-20 22:00,0.474,0.167,0,0
2024-01-20 23:00,0.703,0.213,0,0
2024-01-21 00:00,1.238,0.167,0,0
2024-01-21 01:00,2.104,0.174,0,0
2024-01-21 02:00,3.062,0.154,0,0
2024-01-21 03:00,3.915,0.167,0,0
2024-01-21 04:00,4.552,0.171,0,0
2024-01-21 05:00,4.880,0.135,0,0
2024-01-21 06:00,4.903,0.141,0,0
2024-01-21 07:00,4.611,0.157,0,0
2024-01-21 08:00,4.286,0.164,0,0
2024-01-21 09:00,3.948,0.138,0,0
2024-01-21 10:00,3.958,0.144,0,0
2024-01-21 11:00,4.312,0.161,0,0
2024-01-21 12:00,4.909,0.174,0,0
2024-01-21 13:00,5.694,0.144,0,0
2024-01-21 14:00,6.330,0.148,0,0
2024-01-21 15:00,6.891,0.141,0,0
2024-01-21 16:00,7.019,0.151,0,0
2024-01-21 17:00,6.507,0.135,0,0
2024-01-21 18:00,5.470,0.144,0,0
2024-01-21 19:00,4.047,0.164,0,0
2024-01-21 20:00,2.567,0.135,0,0
2024-01-21 21:00,1.317,0.154,0,0
2024-01-21 22:00,0.559,0.148,0,0
2024-01-21 23:00,0.372,0.138,0,0
2024-01-22 00:00,0.530,0.121,0,0
2024-01-22 01:00,1.215,0.118,0,0
2024-01-22 02:00,2.173,0.138,0,0
2024-01-22 03:00,3.217,0.118,0,0
2024-01-22 04:00,4.273,0.115,0,0
2024-01-22 05:00,4.998,0.105,0,0
2024-01-22 06:00,5.444,0.095,0,0
2024-01-22 07:00,5.425,0.082,0,0
2024-01-22 08:00,5.139,0.095,0,0
2024-01-22 09:00,4.696,0.085,0,0
2024-01-22 10:00,4.299,0.102,0,0
2024-01-22 11:00,4.227,0.118,0,0
2024-01-22 12:00,4.558,0.128,0,0
2024-01-22 13:00,5.195,0.138,0,0
2024-01-22 14:00,5.969,0.125,0,0
2024-01-22 15:00,6.622,0.135,0,0
2024-01-22 16:00,7.124,0.089,0,0
2024-01-22 17:00,7.173,0.105,0,0
2024-01-22 18:00,6.570,0.108,0,0
2024-01-22 19:00,5.369,0.108,0,0
2024-01-22 20:00,3.676,0.098,0,0
2024-01-22 21:00,2.186,0.112,0,0
2024-01-22 22:00,0.926,0.108,0,0
2024-01-22 23:00,0.241,0.105,0,0
2024-01-23 00:00,0.116,0.059,0,0
2024-01-23 01:00,0.339,0.092,0,0
2024-01-23 02:00,1.196,0.131,0,0
2024-01-23 03:00,2.249,0.098,0,0
2024-01-23 04:00,3.335,0.098,0,0
2024-01-23 05:00,4.345,0.085,0,0
2024-01-23 06:00,4.959,0.079,0,0
2024-01-23 07:00,5.228,0.085,0,0
2024-01-23 08:00,5.096,0.095,0,0
2024-01-23 09:00,4.726,0.092,0,0
2024-01-23 10:00,4.125,0.112,0,0
2024-01-23 11:00,3.751,0.138,0,0
2024-01-23 12:00,3.804,0.125,0,0
2024-01-23 13:00,4.211,0.148,0,0
2024-01-23 14:00,4.903,0.105,0,0
2024-01-23 15:00,5.713,0.092,0,0
2024-01-23 16:00,6.419,0.092,0,0
2024-01-23 17:00,6.875,0.089,0,0
2024-01-23 18:00,6.760,0.092,0,0
2024-01-23 19:00,5.936,0.098,0,0
2024-01-23 20:00,4.545,0.105,0,0
2024-01-23 21:00,2.869,0.105,0,0
2024-01-23 22:00,1.363,0.095,0,0
2024-01-23 23:00,0.293,0.098,0,0
2024-01-24 00:00,0.001,0.036,0,0
2024-01-24 01:00,-0.009,0.039,0,0
2024-01-24 02:00,0.182,0.098,0,0
2024-01-24 03:00,1.087,0.112,0,0
2024-01-24 04:00,2.229,0.098,0,0
2024-01-24 05:00,3.358,0.102,0,0
2024-01-24 06:00,4.302,0.092,0,0
2024-01-24 07:00,4.877,0.085,0,0
2024-01-24 08:00,5.037,0.112,0,0
2024-01-24 09:00,4.775,0.095,0,0
2024-01-24 10:00,4.234,0.095,0,0
2024-01-24 11:00,3.673,0.121,0,0
2024-01-24 12:00,3.440,0.102,0,0
2024-01-24 13:00,3.630,0.108,0,0
2024-01-24 14:00,4.119,0.118,0,0
2024-01-24 15:00,4.900,0.108,0,0
2024-01-24 16:00,5.759,0.108,0,0
2024-01-24 17:00,6.517,0.138,0,0
2024-01-24 18:00,6.881,0.118,0,0
2024-01-24 19:00,6.615,0.112,0,0
2024-01-24 20:00,5.680,0.171,0,0
2024-01-24 21:00,4.040,0.151,0,0
2024-01-24 22:00,2.423,0.125,0,0
2024-01-24 23:00,1.002,0.167,0,0
2024-01-25 00:00,0.316,0.108,0,0
2024-01-25 01:00,0.093,0.056,0,0
2024-01-25 02:00,0.113,0.079,0,0
2024-01-25 03:00,0.559,0.141,0,0
2024-01-25 04:00,1.592,0.105,0,0
2024-01-25 05:00,2.787,0.105,0,0
2024-01-25 06:00,3.866,0.098,0,0
2024-01-25 07:00,4.667,0.072,0,0
2024-01-25 08:00,5.034,0.102,0,0
2024-01-25 09:00,5.034,0.138,0,0
2024-01-25 10:00,4.565,0.085,0,0
2024-01-25 11:00,3.889,0.095,0,0
2024-01-25 12:00,3.262,0.118,0,0
2024-01-25 13:00,3.203,0.121,0,0
2024-01-25 14:00,3.509,0.128,0,0
2024-01-25 15:00,4.152,0.131,0,0
2024-01-25 16:00,5.041,0.112,0,0
2024-01-25 17:00,5.844,0.135,0,0
2024-01-25 18:00,6.465,0.138,0,0
2024-01-25 19:00,6.609,0.131,0,0
2024-01-25 20:00,6.077,0.236,0,0
2024-01-25 21:00,4.785,0.226,0,0
2024-01-25 22:00,3.052,0.164,0,0
2024-01-25 23:00,1.563,0.161,0,0
2024-01-26 00:00,0.434,0.121,0,0
2024-01-26 01:00,0.185,0.066,0,0
2024-01-26 02:00,0.067,0.030,0,0
2024-01-26 03:00,0.133,0.089,0,0
2024-01-26 04:00,0.743,0.190,0,0
2024-01-26 05:00,1.921,0.180,0,0
2024-01-26 06:00,3.125,0.125,0,0
2024-01-26 07:00,4.099,0.190,0,0
2024-01-26 08:00,4.818,0.174,0,0
2024-01-26 09:00,4.968,0.200,0,0
2024-01-26 10:00,4.716,0.144,0,0
2024-01-26 11:00,4.204,0.194,0,0
2024-01-26 12:00,3.574,0.151,0,0
2024-01-26 13:00,3.013,0.157,0,0
2024-01-26 14:00,3.043,0.177,0,0
2024-01-26 15:00,3.486,0.180,0,0
2024-01-26 16:00,4.214,0.105,0,0
2024-01-26 17:00,5.031,0.125,0,0
2024-01-26 18:00,5.828,0.125,0,0
2024-01-26 19:00,6.225,0.115,0,0
2024-01-26 20:00,6.186,0.082,0,0
2024-01-26 21:00,5.431,0.112,0,0
2024-01-26 22:00,3.984,0.108,0,0
2024-01-26 23:00,2.304,0.105,0,0
2024-01-27 00:00,0.871,0.144,0,0
2024-01-27 01:00,0.323,0.062,0,0
2024-01-27 02:00,0.218,0.013,0,0
2024-01-27 03:00,0.195,0.016,0,0
2024-01-27 04:00,0.411,0.085,0,0
2024-01-27 05:00,1.369,0.112,0,0
2024-01-27 06:00,2.577,0.108,0,0
2024-01-27 07:00,3.669,0.108,0,0
2024-01-27 08:00,4.450,0.085,0,0
2024-01-27 09:00,4.890,0.085,0,0
2024-01-27 10:00,4.946,0.089,0,0
2024-01-27 11:00,4.417,0.085,0,0
2024-01-27 12:00,3.732,0.108,0,0
2024-01-27 13:00,3.082,0.105,0,0
2024-01-27 14:00,2.826,0.098,0,0
2024-01-27 15:00,2.980,0.115,0,0
2024-01-27 16:00,3.577,0.118,0,0
2024-01-27 17:00,4.339,0.092,0,0
2024-01-27 18:00,5.119,0.082,0,0
2024-01-27 19:00,5.792,0.079,0,0
2024-01-27 20:00,6.058,0.082,0,0
2024-01-27 21:00,5.739,0.082,0,0
2024-01-27 22:00,4.854,0.115,0,0
2024-01-27 23:00,3.321,0.115,0,0
2024-01-28 00:00,1.845,0.115,0,0
2024-01-28 01:00,0.769,0.112,0,0
2024-01-28 02:00,0.392,0.046,0,0
2024-01-28 03:00,0.323,0.036,0,0
2024-01-28 04:00,0.523,0.075,0,0
2024-01-28 05:00,1.156,0.131,0,0
2024-01-28 06:00,2.295,0.108,0,0
2024-01-28 07:00,3.377,0.079,0,0
2024-01-28 08:00,4.339,0.112,0,0
2024-01-28 09:00,4.936,0.085,0,0
2024-01-28 10:00,5.113,0.089,0,0
2024-01-28 11:00,4.903,0.112,0,0
2024-01-28 12:00,4.325,0.131,0,0
2024-01-28 13:00,3.509,0.108,0,0
2024-01-28 14:00,3.003,0.098,0,0
2024-01-28 15:00,2.918,0.125,0,0
2024-01-28 16:00,3.217,0.148,0,0
2024-01-28 17:00,3.896,0.177,0,0
2024-01-28 18:00,4.644,0.118,0,0
2024-01-28 19:00,5.349,0.171,0,0
2024-01-28 20:00,5.756,0.171,0,0
2024-01-28 21:00,5.881,0.108,0,0
2024-01-28 22:00,5.359,0.177,0,0
2024-01-28 23:00,4.260,0.167,0,0
2024-01-29 00:00,2.833,0.128,0,0
2024-01-29 01:00,1.556,0.190,0,0
2024-01-29 02:00,0.867,0.148,0,0
2024-01-29 03:00,0.680,0.075,0,0
2024-01-29 04:00,0.789,0.108,0,0
2024-01-29 05:00,1.327,0.148,0,0
2024-01-29 06:00,2.232,0.171,0,0
2024-01-29 07:00,3.305,0.154,0,0
2024-01-29 08:00,4.293,0.144,0,0
2024-01-29 09:00,4.949,0.125,0,0
2024-01-29 10:00,5.382,0.112,0,0
2024-01-29 11:00,5.283,0.108,0,0
2024-01-29 12:00,4.742,0.112,0,0
2024-01-29 13:00,4.001,0.092,0,0
2024-01-29 14:00,3.243,0.105,0,0
2024-01-29 15:00,2.925,0.141,0,0
2024-01-29 16:00,2.928,0.151,0,0
2024-01-29 17:00,3.410,0.125,0,0
2024-01-29 18:00,4.001,0.128,0,0
2024-01-29 19:00,4.598,0.112,0,0
2024-01-29 20:00,5.277,0.125,0,0
2024-01-29 21:00,5.562,0.092,0,0
2024-01-29 22:00,5.431,0.121,0,0
2024-01-29 23:00,4.847,0.105,0,0
2024-01-30 00:00,3.758,0.102,0,0
2024-01-30 01:00,2.491,0.089,0,0
2024-01-30 02:00,1.573,0.118,0,0
2024-01-30 03:00,1.038,0.098,0,0
2024-01-30 04:00,1.041,0.118,0,0
2024-01-30 05:00,1.442,0.125,0,0
2024-01-30 06:00,2.196,0.115,0,0
2024-01-30 07:00,3.079,0.121,0,0
2024-01-30 08:00,4.050,0.125,0,0
2024-01-30 09:00,4.821,0.092,0,0
2024-01-30 10:00,5.411,0.075,0,0
2024-01-30 11:00,5.513,0.085,0,0
2024-01-30 12:00,5.146,0.095,0,0
2024-01-30 13:00,4.473,0.115,0,0
2024-01-30 14:00,3.623,0.118,0,0
2024-01-30 15:00,3.056,0.128,0,0
2024-01-30 16:00,2.767,0.138,0,0
