"STATION","DATE","PRCP","SNWD","TAVG","TMAX","TMIN"
"USW00023272","2023-12-21","0.00","0.0",,"62","53"
"USW00023272","2023-12-22","0.00","0.0",,"61","52"
"USW00023272","2023-12-23","0.00","0.0",,"59","48"
"USW00023272","2023-12-24","0.00","0.0",,"55","46"
"USW00023272","2023-12-25","0.00","0.0",,"58","46"
"USW00023272","2023-12-26","0.00","0.0",,"58","50"
"USW00023272","2023-12-27","0.17","0.0",,"59","51"
"USW00023272","2023-12-28","0.00","0.0",,"63","56"
"USW00023272","2023-12-29","0.86","0.0",,"62","54"
"USW00023272","2023-12-30","0.15","0.0",,"60","50"
"USW00023272","2023-12-31","0.00",,,"57","49"
"USW00023272","2024-01-01","0.00","0.0",,"59","48"
"USW00023272","2024-01-02","0.31","0.0",,"61","48"
"USW00023272","2024-01-03","0.05","0.0",,"56","48"
"USW00023272","2024-01-04","0.00","0.0",,"61","47"
"USW00023272","2024-01-05","0.00","0.0",,"62","50"
"USW00023272","2024-01-06","0.10","0.0",,"55","47"
"USW00023272","2024-01-07","0.00","0.0",,"55","42"
"USW00023272","2024-01-08","0.00","0.0",,"56","44"
"USW00023272","2024-01-09","0.25","0.0",,"57","48"
"USW00023272","2024-01-10","0.32","0.0",,"56","45"
"USW00023272","2024-01-11","0.00","0.0",,"55","43"
"USW00023272","2024-01-12","0.00","0.0",,"54","44"
"USW00023272","2024-01-13","0.90","0.0",,"55","48"
"USW00023272","2024-01-14","0.02","0.0",,"59","49"
"USW00023272","2024-01-15","0.00","0.0",,"59","49"
"USW00023272","2024-01-16","0.60","0.0",,"57","49"
"USW00023272","2024-01-17","0.02","0.0",,"59","51"
"USW00023272","2024-01-18","0.00","0.0",,"58","49"
"USW00023272","2024-01-19","0.24","0.0",,"56","51"
"USW00023272","2024-01-20","0.19","0.0",,"58","53"
"USW00023272","2024-01-21","0.54","0.0",,"61","53"
"USW00023272","2024-01-22","0.77","0.0",,"59","53"
"USW00023272","2024-01-23","0.00","0.0",,"60","52"
"USW00023272","2024-01-24","0.59","0.0",,"59","52"
"USW00023272","2024-01-25","0.00","0.0",,"60","50"
"USW00023272","2024-01-26","0.00","0.0",,"62","52"
"USW00023272","2024-01-27","0.00","0.0",,"63","52"
"USW00023272","2024-01-28","0.00","0.0",,"68","56"
"USW00023272","2024-01-29","0.00","0.0",,"73","53"
"USW00023272","2024-01-30","0.00","0.0",,"66","54"
"USW00023272","2024-01-31","1.67","0.0",,"60","53"
"USW00023272","2024-02-01","1.07","0.0",,"60","49"
"USW00023272","2024-02-02","0.22","0.0",,"58","49"
"USW00023272","2024-02-03","0.41","0.0",,"55","48"
"USW00023272","2024-02-04","1.31","0.0",,"61","47"
"USW00023272","2024-02-05","0.30","0.0",,"57","50"
"USW00023272","2024-02-06","0.00","0.0",,"57","47"
"USW00023272","2024-02-07","0.45","0.0",,"53","48"
"USW00023272","2024-02-08","0.00","0.0",,"55","43"
"USW00023272","2024-02-09","0.00","0.0",,"57","45"
"USW00023272","2024-02-10","0.00","0.0",,"62","47"
"USW00023272","2024-02-11","0.00","0.0",,"59","48"
"USW00023272","2024-02-12","0.00","0.0",,"60","47"
"USW00023272","2024-02-13","0.00","0.0",,"58","49"
"USW00023272","2024-02-14","0.25","0.0",,"58","51"
"USW00023272","2024-02-15","0.00","0.0",,"59","51"
"USW00023272","2024-02-16","0.00","0.0",,"60","52"
"USW00023272","2024-02-17","0.30","0.0",,"58","53"
"USW00023272","2024-02-18","0.22","0.0",,"64","51"
"USW00023272","2024-02-19","0.12","0.0",,"62","53"
"USW00023272","2024-02-20","1.50","0.0",,"58","51"
"USW00023272","2024-02-21","0.02","0.0",,"60","48"
"USW00023272","2024-02-22","0.00","0.0",,"61","50"
"USW00023272","2024-02-23","0.00","0.0",,"66","50"
"USW00023272","2024-02-24","0.00","0.0",,"71","53"
"USW00023272","2024-02-25","0.00","0.0",,"63","53"
"USW00023272","2024-02-26","0.00","0.0",,"62","51"
"USW00023272","2024-02-27","0.00","0.0",,"61","47"
"USW00023272","2024-02-28","0.00","0.0",,"66","48"
"USW00023272","2024-02-29","0.10",,,"59","51"
"USW00023272","2024-03-01","1.17","0.0",,"57","49"
"USW00023272","2024-03-02","0.35","0.0",,"54","44"
"USW00023272","2024-03-03","0.17","0.0",,"55","45"
"USW00023272","2024-03-04","0.14","0.0",,"58","46"
"USW00023272","2024-03-05","0.02","0.0",,"60","49"
"USW00023272","2024-03-06","0.07","0.0",,"57","50"
"USW00023272","2024-03-07","0.00","0.0",,"60","49"
"USW00023272","2024-03-08","0.00","0.0",,"65","47"
"USW00023272","2024-03-09","0.00","0.0",,"60","51"
"USW00023272","2024-03-10","0.11","0.0",,"62","52"
"USW00023272","2024-03-11","0.13","0.0",,"59","48"
"USW00023272","2024-03-12","0.38","0.0",,"60","50"
"USW00023272","2024-03-13","0.00","0.0",,"61","48"
"USW00023272","2024-03-14","0.00","0.0",,"68","57"
"USW00023272","2024-03-15","0.00","0.0",,"73","60"
"USW00023272","2024-03-16","0.00","0.0",,"67","53"
"USW00023272","2024-03-17","0.00","0.0",,"61","49"
"USW00023272","2024-03-18","0.00","0.0",,"60","51"
"USW00023272","2024-03-19","0.00","0.0",,"60","50"
"USW00023272","2024-03-20","0.00","0.0",,"60","49"
"USW00023272","2024-03-21","0.00","0.0",,"65","52"
"USW00023272","2024-03-22","0.48","0.0",,"65","51"
"USW00023272","2024-03-23","0.12","0.0",,"59","51"
"USW00023272","2024-03-24","0.07","0.0",,"58","49"
"USW00023272","2024-03-25","0.00","0.0",,"57","50"
"USW00023272","2024-03-26","0.00","0.0",,"60","49"
"USW00023272","2024-03-27","0.20","0.0",,"59","51"
"USW00023272","2024-03-28","0.00","0.0",,"61","51"
"USW00023272","2024-03-29","0.55","0.0",,"53","49"
"USW00023272","2024-03-30","0.04","0.0",,"62","49"
"USW00023272","2024-03-31","0.00","0.0",,"62","51"
"USW00023272","2024-04-01",,"0.0",,,
"USW00023272","2024-04-02",,"0.0",,,
"USW00023272","2024-04-03",,"0.0",,,
"USW00023272","2024-04-04",,"0.0",,,
"USW00023272","2024-04-05",,"0.0",,,
"USW00023272","2024-04-06",,"0.0",,,
"USW00023272","2024-04-07",,"0.0",,,
"USW00023272","2024-04-08",,"0.0",,,
"USW00023272","2024-04-09",,"0.0",,,
"USW00023272","2024-04-10",,"0.0",,,
"USW00023272","2024-04-11",,"0.0",,,
"USW00023272","2024-04-12",,"0.0",,,
"USW00023272","2024-04-13",,"0.0",,,
"USW00023272","2024-04-14",,"0.0",,,
"USW00023272","2024-04-15",,"0.0",,,
"USW00023272","2024-04-16",,"0.0",,,
"USW00023272","2024-04-17",,"0.0",,,
"USW00023272","2024-04-18",,"0.0",,,
"USW00023272","2024-04-19",,"0.0",,,
"USW00023272","2024-04-20",,"0.0",,,
"USW00023272","2024-04-21",,"0.0",,,
"USW00023272","2024-04-22",,"0.0",,,
"USW00023272","2024-04-23",,"0.0",,,
"USW00023272","2024-04-24",,"0.0",,,
"USW00023272","2024-04-25",,"0.0",,,
"USW00023272","2024-04-26",,"0.0",,,
"USW00023272","2024-04-27",,"0.0",,,
"USW00023272","2024-04-28",,"0.0",,,
"USW00023272","2024-04-29",,"0.0",,,
"USW00023272","2024-04-30","0.00","0.0",,"63","48"
"USW00023272","2024-05-01","0.00","0.0",,"68","49"
"USW00023272","2024-05-02","0.00","0.0",,"65","52"
"USW00023272","2024-05-03","0.00","0.0",,"68","50"
"USW00023272","2024-05-04","0.94","0.0",,"55","47"
"USW00023272","2024-05-05","0.00","0.0",,"57","47"
"USW00023272","2024-05-06","0.00","0.0",,"60","48"
"USW00023272","2024-05-07","0.00","0.0",,"64","49"
"USW00023272","2024-05-08","0.00","0.0",,"78","52"
"USW00023272","2024-05-09","0.00","0.0",,"81","54"
"USW00023272","2024-05-10","0.00","0.0",,"78","54"
"USW00023272","2024-05-11","0.00","0.0",,"66","52"
"USW00023272","2024-05-12","0.00","0.0",,"60","50"
"USW00023272","2024-05-13","0.00","0.0",,"59","50"
"USW00023272","2024-05-14","0.00","0.0",,"62","50"
"USW00023272","2024-05-15","0.00","0.0",,"61","51"
"USW00023272","2024-05-16","0.00","0.0",,"63","53"
"USW00023272","2024-05-17","0.00","0.0",,"63","51"
"USW00023272","2024-05-18","0.00","0.0",,"62","53"
"USW00023272","2024-05-19","0.00","0.0",,"62","51"
"USW00023272","2024-05-20","0.00","0.0",,"65","50"
"USW00023272","2024-05-21","0.00","0.0",,"69","51"
"USW00023272","2024-05-22","0.00","0.0",,"67","52"
"USW00023272","2024-05-23","0.00","0.0",,"64","50"
"USW00023272","2024-05-24","0.02","0.0",,"56","49"
"USW00023272","2024-05-25","0.07","0.0",,"59","50"
"USW00023272","2024-05-26","0.00","0.0",,"63","50"
"USW00023272","2024-05-27","0.00","0.0",,"58","50"
"USW00023272","2024-05-28","0.00","0.0",,"61","50"
"USW00023272","2024-05-29","0.00","0.0",,"70","51"
"USW00023272","2024-05-30","0.00","0.0",,"70","53"
"USW00023272","2024-05-31","0.00","0.0",,"69","53"
"USW00023272","2024-06-01","0.00","0.0",,"62","52"
"USW00023272","2024-06-02","0.00","0.0",,"62","51"
"USW00023272","2024-06-03","0.00","0.0",,"64","54"
"USW00023272","2024-06-04","0.00","0.0",,"74","54"
"USW00023272","2024-06-05","0.00","0.0",,"76","56"
"USW00023272","2024-06-06","0.00","0.0",,"62","53"
"USW00023272","2024-06-07","0.00","0.0",,"64","53"
"USW00023272","2024-06-08","0.00","0.0",,"62","52"
"USW00023272","2024-06-09","0.00","0.0",,"62","52"
"USW00023272","2024-06-10","0.00","0.0",,"66","51"
"USW00023272","2024-06-11","0.00","0.0",,"74","53"
"USW00023272","2024-06-12","0.00","0.0",,"63","53"
"USW00023272","2024-06-13","0.00","0.0",,"58","52"
"USW00023272","2024-06-14","0.00","0.0",,"63","52"
"USW00023272","2024-06-15","0.00","0.0",,"71","52"
"USW00023272","2024-06-16","0.00","0.0",,"67","53"
"USW00023272","2024-06-17","0.00","0.0",,"72","50"
"USW00023272","2024-06-18","0.00","0.0",,"72","52"
"USW00023272","2024-06-19","0.00","0.0",,"58","51"
"USW00023272","2024-06-20","0.00","0.0",,"58","50"
"USW00023272","2024-06-21","0.00","0.0",,"68","50"
"USW00023272","2024-06-22","0.00","0.0",,"66","51"
"USW00023272","2024-06-23","0.00","0.0",,"69","54"
"USW00023272","2024-06-24","0.00","0.0",,,"52"
"USW00023272","2024-06-25","0.00","0.0",,,
"USW00023272","2024-06-26","0.00","0.0",,"62","52"
"USW00023272","2024-06-27","0.00","0.0",,"65","51"
"USW00023272","2024-06-28","0.00","0.0",,"72","52"
"USW00023272","2024-06-29","0.00","0.0",,"70","53"
"USW00023272","2024-06-30","0.00","0.0",,"74","55"
"USW00023272","2024-07-01","0.00","0.0",,"74","55"
"USW00023272","2024-07-02","0.00",,,"84","56"
"USW00023272","2024-07-03","0.00",,,"78","59"
"USW00023272","2024-07-04","0.00",,,"78","55"
"USW00023272","2024-07-05","0.00",,,"71","53"
"USW00023272","2024-07-06","0.00",,,"71","56"
"USW00023272","2024-07-07","0.00","0.0",,"67","56"
"USW00023272","2024-07-08","0.00","0.0",,"68","56"
"USW00023272","2024-07-09","0.00","0.0",,"66","57"
"USW00023272","2024-07-10","0.00","0.0",,"68","56"
"USW00023272","2024-07-11","0.00","0.0",,"74","55"
"USW00023272","2024-07-12","0.00","0.0",,"66","54"
"USW00023272","2024-07-13","0.00","0.0",,"65","54"
"USW00023272","2024-07-14","0.00","0.0",,"65","56"
"USW00023272","2024-07-15","0.00","0.0",,"65","56"
"USW00023272","2024-07-16","0.00","0.0",,"67","56"
"USW00023272","2024-07-17","0.00","0.0",,"65","55"
"USW00023272","2024-07-18","0.00","0.0",,"66","56"
"USW00023272","2024-07-19","0.00","0.0",,"75","54"
"USW00023272","2024-07-20","0.00","0.0",,"68","54"
"USW00023272","2024-07-21","0.00","0.0",,"61","53"
"USW00023272","2024-07-22","0.00","0.0",,"66","55"
"USW00023272","2024-07-23","0.00","0.0",,"73","54"
"USW00023272","2024-07-24","0.00","0.0",,"74","58"
"USW00023272","2024-07-25","0.00","0.0",,"71","57"
"USW00023272","2024-07-26","0.00","0.0",,"63","55"
"USW00023272","2024-07-27","0.00","0.0",,"59","54"
"USW00023272","2024-07-28","0.00","0.0",,"67","54"
"USW00023272","2024-07-29","0.00","0.0",,"62","55"
"USW00023272","2024-07-30","0.01","0.0",,"66","56"
"USW00023272","2024-07-31","0.00","0.0",,"67","56"
"USW00023272","2024-08-01","0.00","0.0",,"69","54"
"USW00023272","2024-08-02","0.00","0.0",,"66","55"
"USW00023272","2024-08-03","0.00","0.0",,"70","55"
"USW00023272","2024-08-04","0.00","0.0",,"63","54"
"USW00023272","2024-08-05","0.00","0.0",,"62","53"
"USW00023272","2024-08-06","0.00","0.0",,"69","53"
"USW00023272","2024-08-07","0.00","0.0",,"72","55"
"USW00023272","2024-08-08","0.00","0.0",,"62","54"
"USW00023272","2024-08-09","0.00","0.0",,"63","52"
"USW00023272","2024-08-10","0.00","0.0",,"66","54"
"USW00023272","2024-08-11","0.00","0.0",,"63","53"
"USW00023272","2024-08-12","0.00","0.0",,"64","53"
"USW00023272","2024-08-13","0.00","0.0",,"70","54"
"USW00023272","2024-08-14","0.00","0.0",,"65","54"
"USW00023272","2024-08-15","0.00","0.0",,"69","54"
"USW00023272","2024-08-16","0.00","0.0",,"70","55"
"USW00023272","2024-08-17","0.00","0.0",,"73","57"
"USW00023272","2024-08-18","0.00","0.0",,"67","57"
"USW00023272","2024-08-19","0.00","0.0",,"68","55"
"USW00023272","2024-08-20","0.00","0.0",,"74","55"
"USW00023272","2024-08-21","0.00","0.0",,"67","57"
"USW00023272","2024-08-22","0.00","0.0",,"69","58"
"USW00023272","2024-08-23","0.00","0.0",,"69","58"
"USW00023272","2024-08-24","0.04","0.0",,"72","60"
"USW00023272","2024-08-25","0.00","0.0",,"76","57"
"USW00023272","2024-08-26","0.00","0.0",,"78","57"
"USW00023272","2024-08-27","0.00","0.0",,"79","56"
"USW00023272","2024-08-28","0.00","0.0",,"68","57"
"USW00023272","2024-08-29","0.00","0.0",,"67","57"
"USW00023272","2024-08-30","0.00","0.0",,"67","59"
"USW00023272","2024-09-01","0.00","0.0",,"68","57"
"USW00023272","2024-09-02","0.00","0.0",,"69","59"
"USW00023272","2024-09-03","0.00","0.0",,"85","57"
"USW00023272","2024-09-04","0.00","0.0",,"68","57"
"USW00023272","2024-09-05","0.00","0.0",,"71","54"
"USW00023272","2024-09-06","0.00","0.0",,"70","55"
"USW00023272","2024-09-07","0.00","0.0",,"66","54"
"USW00023272","2024-09-08","0.00","0.0",,"70","53"
"USW00023272","2024-09-09","0.00","0.0",,"64","55"
"USW00023272","2024-09-10","0.00","0.0",,"63","57"
"USW00023272","2024-09-11","0.00","0.0",,"66","55"
"USW00023272","2024-09-12","0.00","0.0",,"71","53"
"USW00023272","2024-09-13","0.00","0.0",,"71","54"
"USW00023272","2024-09-14","0.00","0.0",,"64","54"
"USW00023272","2024-09-15","0.00","0.0",,"62","54"
"USW00023272","2024-09-16","0.00","0.0",,"67","54"
